account,name,propaddr,servacctno,serviceaddr,custclass,LB Streetname,propaddrno,streetcode,ParcelID_text,ParcelID_num,
328779,0Neriani Surveying,31-35 Old Farms R,670815,d    00670815Avon,COM,- Old Farms R,,336,3360035,3360035,
328821,021 Arch Rd Assoc Inc,21 Arch Rd,670857,00670857Avon,COM, Arch Rd,21,109,1090021,1090021,
333270,0St Ann Church,289 Arch Rd,675306,00675306Avon,COM, Arch Rd,289,109,1090289,1090289,
329162,0Avon Town Center Llc,21 Arts Center La,671198,ne   00671198Avon,COM, Arts Center La,21,114,1140021,2210021,
333136,0Avon Town Center Llc,23 Arts Center Ct,675172,00675172Avon,COM, Arts Center Ct,23,114,1140023,2210021,
333137,0Avon Town Center Llc - Irrig,23 Arts Center Ct,675173,00675173Avon,COM, Arts Center Ct,23,114,1140023,2210021,
329163,0Farmington Valley Arts Center,25 Arts Center La,671199,ne   00671199Avon,COM, Arts Center La,25,114,1140025,1140025,
333138,0Farm.valley Arts Center,27 Arts Center La,675174,ne   00675174Avon,COM, Arts Center La,27,114,1140027,1140027,
329217,0Robert Hensley & Assoc,10 Avon Meadow La,671253,ne   00671253Avon,COM, Avon Meadow La,10,116,1160010,1160010,
333102,0Avon Meadow Condo Assoc,10 Avon Meadow La,675138,ne   00675138Avon,COM, Avon Meadow La,10,116,1160010,1160010,
329218,"0Corridor Property Mgmt, LLC",20 Avon Meadow La,671254,ne   00671254Avon,COM, Avon Meadow La,20,116,1160020,1160020,
329219,"0ADN Properties, LLC",30 Avon Meadow La,671255,ne   00671255Avon,COM, Avon Meadow La,30,116,1160030,1160030,
329220,0Paul Cryan,40 Avon Meadow La,671256,ne   00671256Avon,COM, Avon Meadow La,40,116,1160040,1160040,
329221,0Aml Prop Of Avon Inc,50 Avon Meadow La,671257,ne   00671257Avon,COM, Avon Meadow La,50,116,1160050,1160050,
329222,0Carbray Properties LLC,60 Avon Meadow La,671258,ne   00671258Avon,COM, Avon Meadow La,60,116,1160060,1160060,
329224,0Amtec,90 Avon Meadow La,671260,ne   00671260Avon,COM, Avon Meadow La,90,116,1160090,1160090,
329225,0Const Billing & Financial Sv,100 Avon Meadow L,671261,ane  00671261Avon,COM, Avon Meadow L,100,116,1160100,1160100,
333748,0Avon Old Farms Hotel,279 Avon Mountain,676890,Rd B00676890Avon,COM, Avon Mountain,279,117,1170279,1170279,
333030,0Avon Old Farms Hotel,279 Avon Mountain,675066,Rd  00675066Avon,COM, Avon Mountain,279,117,1170279,1170279,
333032,0Avon Old Farms Hotel,279 Avon Mountain,675068,Rd  00675068Avon,COM, Avon Mountain,279,117,1170279,1170279,
333031,0Avon Old Farms Hotel,279 Avon Mountain,675067,Rd P00675067Avon,COM, Avon Mountain,279,117,1170279,1170279,
333020,0North House Realty LLC,280 Avon Mountain,675056,Rd  00675056Avon,COM, Avon Mountain,280,117,1170280,1170280,
329736,0Avon Hair Co.,9 Avonwood Rd,671772,00671772Avon,COM, Avonwood Rd,9,122,1220009,1220009,
329737,0Avon Veterinary Emergency.,9 Avonwood Rd,671773,00671773Avon,COM, Avonwood Rd,9,122,1220009,1220009,
329738,0Dental Arts Of Avon,9 Avonwood Rd,671774,00671774Avon,COM, Avonwood Rd,9,122,1220009,1220009,
329739,0A Place To Grow,9 Avonwood Rd,671775,00671775Avon,COM, Avonwood Rd,9,122,1220009,1220009,
328530,0John D'arcangelo,4 Bailey Rd,670566,00670566Avon,COM, Bailey Rd,4,124,1240004,1240004,
333204,"0Benchmark Gpt Avon, Site#:rra",101 Bickford Dr,675240,00675240Avon,COM, Bickford Dr,101,130,1300101,1300101,
329767,0Carriage Club,111 Brookmoor Rd,671803,00671803Avon,COM, Brookmoor Rd,111,150,1500111,1500111,
332054,0Farmington Woods District,200 Byron Dr Mast,674090,er As00674090Avon,COM, Byron Dr Mast,200,161,1610200,1610200,
328532,"0Griffin, Guild Llc",5 Climax Rd,670568,00670568Avon,COM, Climax Rd,5,183,1830005,1830005,
333304,0Golf Club Of Avon,160 Country Club,675340,Rd   00675340Avon,COM, Country Club,160,194,1940160,1940160,
329960,0Brighenti Enterprises,296 Country Club,671996,Rd   00671996Avon,COM, Country Club,296,194,1940296,1940296,
329961,0Petvet Care Centers Ct Inc,296 Country Club,671997,Rd   00671997Avon,COM, Country Club,296,194,1940296,1940296,
329962,0Doggy-do's,296 Country Club,671998,Rd   00671998Avon,COM, Country Club,296,194,1940296,1940296,
329963,"0Avon Math, Reading & Writing C",300 Country Club,671999,Rd   00671999Avon,COM, Country Club,300,194,1940300,1940300,
329964,0Fitness Together,300 Country Club,672000,Rd   00672000Avon,COM, Country Club,300,194,1940300,1940300,
329965,0Country Club Cleaners,300 Country Club,672001,Rd   00672001Avon,COM, Country Club,300,194,1940300,1940300,
333624,0Carmon & Company LLC,301 Country Club,676500,Rd BI00676500Avon,COM, Country Club,301,194,1940301,1940301,
329967,0Carmon & Company Llc -irr,301 Country Club,672003,Rd   00672003Avon,COM, Country Club,301,194,1940301,1940301,
333340,0Briarcliff Swim Club,107 Craigemore Ci,675376,rcle 00675376Avon,COM, Craigemore Ci,107,196,1960107,1960107,
333295,0Simsbury Bank & Trust,27 Dale Rd,675331,00675331Avon,COM, Dale Rd,27,202,2020027,2020027,
333561,0Simsbury Bank,27 Dale Rd - BILL,676263,ED AC00676263Avon,COM, Dale Rd - BILL,27,202,2020027,2020027,
328726,0Dr. Colleen Jambor,33 Dale Rd,670762,00670762Avon,COM, Dale Rd,33,202,2020033,2020033,
328727,0Dr. Sioban Stephen,33 Dale Rd,670763,00670763Avon,COM, Dale Rd,33,202,2020033,2020033,
333296,0Dr Nicholas Labbadia,33 Dale Rd Irrig,675332,00675332Avon,COM, Dale Rd Irrig,33,202,2020033,2020033,
333297,0TC&F LLC,34 Dale Rd,675333,00675333Avon,COM, Dale Rd,34,202,2020034,2020034,
333299,040 Dale Rd LLC,40 Dale Rd,675335,00675335Avon,COM, Dale Rd,40,202,2020040,2020040,
333301,044 Dale Rd LLC,44 Dale Rd,675337,00675337Avon,COM, Dale Rd,44,202,2020044,2020044,
328468,0Avon Park So Ofc Ctr Assoc,1 Darling Dr,670504,00670504Avon,COM, Darling Dr,1,203,2030001,2030001,
328470,0Chapdelaine Ent LLC,40 Darling Dr,670506,00670506Avon,COM, Darling Dr,40,203,2030040,2030040,
333166,"0OFS Fitel, LLC",55 Darling Dr Coo,675202,ling 00675202Avon,COM, Darling Dr Coo,55,203,2030055,2030055,
333173,0Peachtree Village,60 Darling Dr,675209,00675209Avon,COM, Darling Dr,60,203,2030060,2030060,
333182,0Legere Woodworking,80 Darling Dr,675218,00675218Avon,COM, Darling Dr,80,203,2030080,2030080,
333184,0Connecticut On-Line Computer C,105 Darling Dr,675220,00675220Avon,COM, Darling Dr,105,203,2030105,2030105,
333191,0135 Darling Dr LLC,135 Darling Dr,675227,00675227Avon,COM, Darling Dr,135,203,2030135,2030135,
333008,0Decapo Brick Oven Pizza,1 East Main St,675044,00675044Avon,COM, East Main St,1,214,2140001,2140001,
328534,0Avon Village Assoc LLC,7 East Main St,670570,00670570Avon,COM, East Main St,7,214,2140007,2140007,
333009,"010 E Main St Avon, LLC",10 East Main St,675045,00675045Avon,COM, East Main St,10,214,2140010,2140010,
328536,"0Avon Village Assoc, LLC",11 East Main St,670572,00670572Avon,COM, East Main St,11,214,2140011,2140011,
328537,"0Avon Village Assoc, LLC",17 East Main St,670573,00670573Avon,COM, East Main St,17,214,2140017,2140017,
328538,"0Avon Village Assoc, Llc",19 East Main St,670574,00670574Avon,COM, East Main St,19,214,2140019,2140019,
328539,020 East Main St LLC,20 East Main St,670575,00670575Avon,COM, East Main St,20,214,2140020,2140020,
328540,0Flagman Of America,22 East Main St,670576,00670576Avon,COM, East Main St,22,214,2140022,2140022,
328541,0Companions & Homemakers,24 East Main St,670577,00670577Avon,COM, East Main St,24,214,2140024,2140024,
328542,"0Avon Village Assoc, Llc",25 East Main St,670578,00670578Avon,COM, East Main St,25,214,2140025,2140025,
328543,"0Avon Village Assoc, Llc",27 East Main St,670579,00670579Avon,COM, East Main St,27,214,2140027,2140027,
328544,0Frank Pendergast Inc.,28 East Main St,670580,00670580Avon,COM, East Main St,28,214,2140028,2140028,
328545,"0Avon Village Assoc, Llc",29 East Main St,670581,00670581Avon,COM, East Main St,29,214,2140029,2140029,
328546,0Freedom Choice Mortgage,30 East Main St,670582,00670582Avon,COM, East Main St,30,214,2140030,2140030,
328547,"0Avon Village Assoc, Llc",31 East Main St,670583,00670583Avon,COM, East Main St,31,214,2140031,2140031,
328893,0Jari Associates,32 East Main St,670929,00670929Avon,COM, East Main St,32,214,2140032,2140032,
328548,"0Avon Village Assoc, Llc",33 East Main St,670584,00670584Avon,COM, East Main St,33,214,2140033,2140033,
328894,0Gifts Of Love,34 East Main St,670930,00670930Avon,COM, East Main St,34,214,2140034,2140034,
328549,0Avon Village Assoc LLC,35 East Main St,670585,00670585Avon,COM, East Main St,35,214,2140035,2140035,
328550,0Ralph Rosenberg,36 East Main St,670586,00670586Avon,COM, East Main St,36,214,2140036,2140036,
328551,"0Avon Village Assoc, Llc",37 East Main St,670587,00670587Avon,COM, East Main St,37,214,2140037,2140037,
328552,"0Avon Village Assoc, Llc",39 East Main St,670588,00670588Avon,COM, East Main St,39,214,2140039,2140039,
328553,"0Avon Village Assoc, Llc",41 East Main St,670589,00670589Avon,COM, East Main St,41,214,2140041,2140041,
328554,0Avon Village Assoc LLC,45 East Main St,670590,00670590Avon,COM, East Main St,45,214,2140045,2140045,
333012,0Applewoods Llc,51 East Main St,675048,00675048Avon,COM, East Main St,51,214,2140051,2140051,
333019,0Applewoods Llc,51 East Main St,675055,00675055Avon,COM, East Main St,51,214,2140051,2140051,
333689,0Applewoods Llc,51 East Main St B,676764,ILLED00676764Avon,COM, East Main St B,51,214,2140051,2140051,
328555,0Avon Properties LLC,56 East Main St,670591,00670591Avon,COM, East Main St,56,214,2140056,2140056,
328556,"0Avon Properties, LLC",60 East Main St,670592,00670592Avon,COM, East Main St,60,214,2140060,2140060,
333015,0Avon Fairway Cleaners,70 East Main St,675051,00675051Avon,COM, East Main St,70,214,2140070,2140070,
