Date,Field2,CustID,Field4,VehID,Town
20260206,A,1375897,,7073961,84
20260206,A,1379595,,5577460,84
20260206,A,4203960,,5577460,84
20260206,A,1439968,,7027843,84
20260206,A,1448043,,7186390,84
20260206,A,1480601,,6742929,84
20260206,A,1488113,,6899376,84
20260206,A,1489971,,5023390,84
20260206,A,1627602,,5023390,84
20260206,A,1584031,,4942414,84
20260206,A,1587317,,4995245,84
20260206,A,1607312,,5420413,84
20260206,A,5648980,,5420413,84
20260206,A,1607330,,7248845,84
20260206,A,1644634,,5293028,84
20260206,A,1768795,,6149721,84
20260206,A,1779764,,5084031,84
20260206,A,1795060,,7744043,84
20260206,A,1819916,,4550225,84
20260206,A,1830605,,7737076,84
20260206,A,4664027,,7737076,84
20260206,A,1872077,,7229434,84
20260206,A,1882580,,5413648,84
20260206,A,4260089,,5413648,84
20260206,A,1899188,,7586210,84
20260206,A,1902412,,7829716,84
20260206,A,104573,,7531913,84
20260206,A,104574,,5048242,84
20260206,A,139836,Y,7343919,84
20260206,A,140257,,6999951,84
20260206,A,544528,,7502613,84
20260206,A,561491,,6867321,84
20260206,A,624937,,7636336,84
20260206,A,710789,,4729124,84
20260206,A,730177,,3815873,84
20260206,A,3182779,,3815873,84
20260206,A,808943,,4997587,84
20260206,A,909694,,7224614,84
20260206,A,985308,,6866411,84
20260206,A,5510278,,6866411,84
20260206,A,1012349,,7825366,84
20260206,A,1017553,,5696178,84
20260206,A,1056837,,5122426,84
20260206,A,2142781,,5122426,84
20260206,A,1070303,,7406154,84
20260206,A,1090405,,6620963,84
20260206,A,1095057,,7729566,84
20260206,A,1112316,,4882040,84
20260206,A,1119417,,7453130,84
20260206,A,1130830,,6968867,84
20260206,A,1135136,,5328738,84
20260206,A,1167216,,6060686,84
20260206,A,2153366,,6060686,84
20260206,A,1254283,,6228066,84
20260206,A,1280575,,6874504,84
20260206,A,1316170,,6518626,84
20260206,A,1330762,,4982239,84
20260206,A,2024518,,7525819,84
20260206,A,2048259,,4558394,84
20260206,A,2247477,,7338437,84
20260206,A,2256695,,4489923,84
20260206,A,2284269,,7906881,84
20260206,A,2321436,,7516964,84
20260206,A,2330708,,6677108,84
20260206,A,2381189,,2825390,84
20260206,A,2437295,,5335777,84
20260206,A,5476007,,5335777,84
20260206,A,2517707,,6719174,84
20260206,A,2537350,,6141734,84
20260206,A,2578206,,7522014,84
20260206,A,2582475,,5421695,84
20260206,A,2722768,,2962979,84
20260206,A,5782721,,4931284,84
20260206,A,2725915,,2692940,84
20260206,A,2781975,,6274123,84
20260206,A,2838711,,4220099,84
20260206,A,4932621,,6077284,84
20260206,A,2845475,,4628705,84
20260206,A,2847602,,580396,84
20260206,A,2855283,,203671,84
20260206,A,2860388,,4067712,84
20260206,A,2920050,,6231783,84
20260206,A,2925148,,4890088,84
20260206,A,2993452,,4768890,84
20260206,A,4153985,,6399578,84
20260206,A,3076526,,5122496,84
20260206,A,3872675,,4617007,84
20260206,A,3131580,,6325856,84
20260206,A,3544708,,6164232,84
20260206,A,3176044,,7213090,84
20260206,A,3280613,,4580241,84
20260206,A,3289485,,4761219,84
20260206,A,3298322,,5412532,84
20260206,A,3308693,,5565088,84
20260206,A,3313936,,5203251,84
20260206,A,5179054,,5203251,84
20260206,A,3324874,,5211551,84
20260206,A,3405749,,1555910,84
20260206,A,3438055,,2537995,84
20260206,A,4735518,,7118175,84
20260206,A,3515227,,5584279,84
20260206,A,3537412,,7034845,84
20260206,A,3586805,,7170944,84
20260206,A,3625324,,4490873,84
20260206,A,3662055,,7297554,84
20260206,A,3685034,,7718900,84
20260206,A,3710177,,6842908,84
20260206,A,3715323,,7014110,84
20260206,A,3746645,,5764820,84
20260206,A,3761286,,187484,84
20260206,A,3855523,,7212437,84
20260206,A,3904688,,6756322,84
20260206,A,3909583,,253432,84
20260206,A,3918783,,6404312,84
20260206,A,3923550,,6389030,84
20260206,A,3929114,,5689115,84
20260206,A,4016538,,6586253,84
20260206,A,4038074,,7803796,84
20260206,A,4061323,,7648167,84
20260206,A,4076606,,7035890,84
20260206,A,4076834,,5929667,84
20260206,A,4109891,,4919681,84
20260206,A,4110709,,7624762,84
20260206,A,4139797,,5324484,84
20260206,A,4146595,,4314000,84
20260206,A,4163715,,3713709,84
20260206,A,4180787,,6203375,84
20260206,A,2984715,,6203375,84
20260206,A,4241600,,5401778,84
20260206,A,4247690,,7014018,84
20260206,A,3376531,,2329448,84
20260206,A,4250226,,4870220,84
20260206,A,4272789,,7232092,84
